Freq.	gain	phase
2.13796208950222e-01	-7.27936298757084e-01	-2.31310211894189e+01
2.18776162394954e-01	-7.59407588182228e-01	-2.36114101738433e+01
2.23872113856833e-01	-7.92119454151329e-01	-2.40993699861200e+01
2.29086765276776e-01	-8.26110934980087e-01	-2.45948761529070e+01
2.34422881531991e-01	-8.61421519817647e-01	-2.50978948621755e+01
2.39883291901948e-01	-8.98091090606101e-01	-2.56083825955180e+01
2.45470891568502e-01	-9.36159859093371e-01	-2.61262857731807e+01
2.51188643150957e-01	-9.75668298879941e-01	-2.66515404146369e+01
2.57039578276885e-01	-1.01665707251614e+00	-2.71840718176339e+01
2.63026799189537e-01	-1.05916695370607e+00	-2.77237942587454e+01
2.69153480392690e-01	-1.10323874471684e+00	-2.82706107185342e+01
2.75422870333815e-01	-1.14891318913719e+00	-2.88244126344812e+01
2.81838293126444e-01	-1.19623088017731e+00	-2.93850796848563e+01
2.88403150312659e-01	-1.24523216475195e+00	-2.99524796066965e+01
2.95120922666637e-01	-1.29595704364018e+00	-3.05264680510085e+01
3.01995172040200e-01	-1.34844506806817e+00	-3.11068884782303e+01
3.09029543251358e-01	-1.40273523311415e+00	-3.16935720968620e+01
3.16227766016836e-01	-1.45886586838757e+00	-3.22863378480091e+01
3.23593656929627e-01	-1.51687452648623e+00	-3.28849924383749e+01
3.31131121482589e-01	-1.57679786978475e+00	-3.34893304239857e+01
3.38844156139201e-01	-1.63867155615456e+00	-3.40991343466372e+01
3.46736850452530e-01	-1.70253012425927e+00	-3.47141749247124e+01
3.54813389233574e-01	-1.76840687910718e+00	-3.53342112996463e+01
3.63078054770100e-01	-1.83633377857647e+00	-3.59589913388947e+01
3.71535229097171e-01	-1.90634132165477e+00	-3.65882519958161e+01
3.80189396320559e-01	-1.97845843915476e+00	-3.72217197263973e+01
3.89045144994279e-01	-2.05271238767876e+00	-3.78591109622531e+01
3.98107170553495e-01	-2.12912864760872e+00	-3.85001326388057e+01
4.07380277804111e-01	-2.20773082589182e+00	-3.91444827770244e+01
4.16869383470333e-01	-2.28854056437678e+00	-3.97918511165693e+01
4.26579518801590e-01	-2.37157745443115e+00	-4.04419197976539e+01
4.36515832240164e-01	-2.45685895853538e+00	-4.10943640884285e+01
4.46683592150961e-01	-2.54440033950558e+00	-4.17488531541890e+01
4.57088189614873e-01	-2.63421459794403e+00	-4.24050508642552e+01
4.67735141287196e-01	-2.72631241845503e+00	-4.30626166319351e+01
4.78630092322636e-01	-2.82070212509429e+00	-4.37212062826116e+01
4.89778819368444e-01	-2.91738964644412e+00	-4.43804729446609e+01
5.01187233627270e-01	-3.01637849062416e+00	-4.50400679576445e+01
5.12861383991362e-01	-3.11766973046118e+00	-4.56996417920087e+01
5.24807460249770e-01	-3.22126199895072e+00	-4.63588449743909e+01
5.37031796370250e-01	-3.32715149505160e+00	-4.70173290125631e+01
5.49540873857622e-01	-3.43533199976110e+00	-4.76747473140481e+01
5.62341325190346e-01	-3.54579490232671e+00	-4.83307560925193e+01
5.75439937337154e-01	-3.65852923636065e+00	-4.89850152562414e+01
5.88843655355586e-01	-3.77352172553668e+00	-4.96371892730218e+01
6.02559586074354e-01	-3.89075683846778e+00	-5.02869480064181e+01
6.16595001861479e-01	-4.01021685228741e+00	-5.09339675182831e+01
6.30957344480190e-01	-4.13188192438916e+00	-5.15779308331130e+01
6.45654229034652e-01	-4.25573017171859e+00	-5.22185286600952e+01
6.60693448007592e-01	-4.38173775695974e+00	-5.28554600692221e+01
6.76082975391978e-01	-4.50987898091570e+00	-5.34884331183312e+01
6.91830970918932e-01	-4.64012638034956e+00	-5.41171654284519e+01
7.07945784384134e-01	-4.77245083052825e+00	-5.47413847053671e+01
7.24435960074986e-01	-4.90682165169774e+00	-5.53608292058341e+01
7.41310241300913e-01	-5.04320671871339e+00	-5.59752481474346e+01
7.58577575029179e-01	-5.18157257305314e+00	-5.65844020615471e+01
7.76247116628687e-01	-5.32188453645409e+00	-5.71880630894302e+01
7.94328234724277e-01	-5.46410682543359e+00	-5.77860152218820e+01
8.12830516164094e-01	-5.60820266598297e+00	-5.83780544833874e+01
8.31763771102666e-01	-5.75413440775655e+00	-5.89639890620741e+01
8.51138038202371e-01	-5.90186363711722e+00	-5.95436393871708e+01
8.70963589956075e-01	-6.05135128844380e+00	-6.01168381559958e+01
8.91250938133740e-01	-6.20255775315276e+00	-6.06834303127911e+01
9.12010839355904e-01	-6.35544298593672e+00	-6.12432729819672e+01
9.33254300796985e-01	-6.50996660777417e+00	-6.17962353585226e+01
9.54992586021430e-01	-6.66608800531754e+00	-6.23421985585678e+01
9.77237220955805e-01	-6.82376642631984e+00	-6.28810554329986e+01
9.99999999999994e-01	-6.98296107081264e+00	-6.34127103474449e+01
1.02329299228075e+00	-7.14363117779985e+00	-6.39370789316627e+01
1.04712854805089e+00	-7.30573610728098e+00	-6.44540878015441e+01
1.07151930523760e+00	-7.46923541746582e+00	-6.49636742568973e+01
1.09647819614318e+00	-7.63408893708701e+00	-6.54657859580932e+01
1.12201845430196e+00	-7.80025683275949e+00	-6.59603805846000e+01
1.14815362149688e+00	-7.96769967137463e+00	-6.64474254783251e+01
1.17489755493952e+00	-8.13637847755279e+00	-6.69268972745653e+01
1.20226443461741e+00	-8.30625478621037e+00	-6.73987815232344e+01
1.23026877081237e+00	-8.47729069032639e+00	-6.78630723028876e+01
1.25892541179416e+00	-8.64944888401906e+00	-6.83197718299105e+01
1.28824955169313e+00	-8.82269270106527e+00	-6.87688900650744e+01
1.31825673855640e+00	-8.99698614901451e+00	-6.92104443194966e+01
1.34896288259164e+00	-9.17229393906473e+00	-6.96444588618755e+01
1.38038426460288e+00	-9.34858151188057e+00	-7.00709645287006e+01
1.41253754462274e+00	-9.52581505954415e+00	-7.04899983389757e+01
1.44543977074592e+00	-9.70396154383650e+00	-7.09016031148271e+01
1.47910838816820e+00	-9.88298871105243e+00	-7.13058271092148e+01
1.51356124843620e+00	-1.00628651035549e+01	-7.17027236418119e+01
1.54881661891247e+00	-1.02435600682758e+01	-7.20923507439734e+01
1.58489319246110e+00	-1.04250437623692e+01	-7.24747708135776e+01
1.62181009735892e+00	-1.06072871562214e+01	-7.28500502803975e+01
1.65958690743755e+00	-1.07902620340176e+01	-7.32182592825354e+01
1.69824365246173e+00	-1.09739409920614e+01	-7.35794713543448e+01
1.73780082874936e+00	-1.11582974350364e+01	-7.39337631261597e+01
1.77827941003891e+00	-1.13433055703945e+01	-7.42812140360558e+01
1.81970085860997e+00	-1.15289404010455e+01	-7.46219060537835e+01
1.86208713666285e+00	-1.17151777165190e+01	-7.49559234169333e+01
1.90546071796323e+00	-1.19019940827572e+01	-7.52833523793254e+01
1.94984459975803e+00	-1.20893668306923e+01	-7.56042809715514e+01
1.99526231496887e+00	-1.22772740437533e+01	-7.59187987735423e+01
2.04173794466951e+00	-1.24656945444355e+01	-7.62269966989880e+01
2.08929613085402e+00	-1.26546078800630e+01	-7.65289667913909e+01
2.13796208950222e+00	-1.28439943078610e+01	-7.68248020315026e+01
2.18776162394954e+00	-1.30338347794495e+01	-7.71145961558589e+01
2.23872113856832e+00	-1.32241109248611e+01	-7.73984434861065e+01
2.29086765276776e+00	-1.34148050361778e+01	-7.76764387687914e+01
2.34422881531990e+00	-1.36059000508748e+01	-7.79486770252652e+01
2.39883291901947e+00	-1.37973795349505e+01	-7.82152534113515e+01
2.45470891568501e+00	-1.39892276659178e+01	-7.84762630864055e+01
2.51188643150956e+00	-1.41814292157222e+01	-7.87318010913962e+01
2.57039578276884e+00	-1.43739695336482e+01	-7.89819622356346e+01
2.63026799189536e+00	-1.45668345292688e+01	-7.92268409917743e+01
2.69153480392690e+00	-1.47600106554864e+01	-7.94665313987092e+01
2.75422870333815e+00	-1.49534848917110e+01	-7.97011269719986e+01
2.81838293126443e+00	-1.51472447272135e+01	-7.99307206214553e+01
2.88403150312658e+00	-1.53412781446889e+01	-8.01554045755373e+01
2.95120922666636e+00	-1.55355736040608e+01	-8.03752703121932e+01
3.01995172040199e+00	-1.57301200265527e+01	-8.05904084958185e+01
3.09029543251357e+00	-1.59249067790502e+01	-8.08009089199917e+01
3.16227766016835e+00	-1.61199236587719e+01	-8.10068604556665e+01
3.23593656929626e+00	-1.63151608782684e+01	-8.12083510045094e+01
3.31131121482588e+00	-1.65106090507597e+01	-8.14054674570822e+01
3.38844156139200e+00	-1.67062591758251e+01	-8.15982956555793e+01
3.46736850452529e+00	-1.69021026254532e+01	-8.17869203608434e+01
3.54813389233573e+00	-1.70981311304581e+01	-8.19714252233917e+01
3.63078054770098e+00	-1.72943367672680e+01	-8.21518927581988e+01
3.71535229097170e+00	-1.74907119450886e+01	-8.23284043229927e+01
3.80189396320558e+00	-1.76872493934421e+01	-8.25010400998313e+01
3.89045144994277e+00	-1.78839421500834e+01	-8.26698790797390e+01
