Freq.	gain	phase
1.20226443461741e+00	-8.30994929563031e+00	-6.73401246668804e+01
1.23026877081237e+00	-8.48100965967869e+00	-6.78026476310963e+01
1.25892541179416e+00	-8.65319149636872e+00	-6.82575421389910e+01
1.28824955169313e+00	-8.82645815309642e+00	-6.87048174452570e+01
1.31825673855640e+00	-9.00077365169216e+00	-6.91444901261191e+01
1.34896288259164e+00	-9.17610271820505e+00	-6.95765836861434e+01
1.38038426460288e+00	-9.35241080863362e+00	-7.00011281680471e+01
1.41253754462274e+00	-9.52966413079321e+00	-7.04181597670395e+01
1.44543977074592e+00	-9.70782966251827e+00	-7.08277204510663e+01
1.47910838816820e+00	-9.88687516640253e+00	-7.12298575881687e+01
1.51356124843620e+00	-1.00667692012830e+01	-7.16246235820208e+01
1.54881661891247e+00	-1.02474811306748e+01	-7.20120755165611e+01
1.58489319246110e+00	-1.04289811283629e+01	-7.23922748105020e+01
1.62181009735892e+00	-1.06112401813548e+01	-7.27652868823662e+01
1.65958690743755e+00	-1.07942300903943e+01	-7.31311808265858e+01
1.69824365246173e+00	-1.09779234682317e+01	-7.34900291010816e+01
1.73780082874936e+00	-1.11622937358409e+01	-7.38419072266421e+01
1.77827941003891e+00	-1.13473151167656e+01	-7.41868934983245e+01
1.81970085860997e+00	-1.15329626297724e+01	-7.45250687090142e+01
1.86208713666285e+00	-1.17192120799773e+01	-7.48565158852034e+01
1.90546071796323e+00	-1.19060400486085e+01	-7.51813200349765e+01
1.94984459975803e+00	-1.20934238815558e+01	-7.54995679081304e+01
1.99526231496887e+00	-1.22813416768518e+01	-7.58113477683019e+01
2.04173794466951e+00	-1.24697722712200e+01	-7.61167491769252e+01
2.08929613085402e+00	-1.26586952258175e+01	-7.64158627888027e+01
2.13796208950222e+00	-1.28480908112891e+01	-7.67087801590344e+01
2.18776162394954e+00	-1.30379399922467e+01	-7.69955935610231e+01
2.23872113856832e+00	-1.32282244112732e+01	-7.72763958152447e+01
2.29086765276776e+00	-1.34189263725481e+01	-7.75512801284561e+01
2.34422881531990e+00	-1.36100288251810e+01	-7.78203399429933e+01
2.39883291901947e+00	-1.38015153463339e+01	-7.80836687958024e+01
2.45470891568501e+00	-1.39933701242045e+01	-7.83413601868369e+01
2.51188643150956e+00	-1.41855779409390e+01	-7.85935074564477e+01
2.57039578276884e+00	-1.43781241555332e+01	-7.88402036713921e+01
2.63026799189536e+00	-1.45709946867778e+01	-7.90815415190835e+01
2.69153480392690e+00	-1.47641759962964e+01	-7.93176132097103e+01
2.75422870333815e+00	-1.49576550717206e+01	-7.95485103858511e+01
2.81838293126443e+00	-1.51514194100411e+01	-7.97743240392217e+01
2.88403150312658e+00	-1.53454570011692e+01	-7.99951444341957e+01
2.95120922666636e+00	-1.55397563117400e+01	-8.02110610377460e+01
